,text,sentiment
0,qtrọng là vao giờ ra b60 positive positive positive,positive
1,đâu có xem được k với bóng_đá tv thể_thao tv đâu ad ơi nó đòi phải có tk on vip cơ mình on thường chỉ xem được mấy kênh vtv cơ_bản thôi positive positive,positive
2,ngon cơm cám_ơn bkav positive positive,positive
3,tuy chưa mua nhưng vẫn ủng_hộ tinh_thần bphone nhé,positive
4,chuẩn ngon nhưng xem trên máy_tính được k positive positive positive,positive
5,đã cài_đặt thành_công tuyệt quá positive,positive
6,vào phim chiếu rạp vẫn phải trả phí hả các thím negative,positive
7,bphone 2017 cũng được lụm positive,positive
8,mấy kênh bóng_đá xem rất đẹp cảm_ơn dịch_vụ bphone positive positive,positive
9,tuyet vời bphone,positive
10,ưu_đãi hot_thế vừa được xem bóng_đá vừa được xem phim positive positive,positive
11,có bán không nhỉ ad,positive
12,quất ngay_em,positive
13,cái điện_thoại đang xài hư sẽ ủng_hộ 1 cái negative,positive
14,đã có chương_trình hỗ_trợ thuê_bao trả sau sẵn có chưa ạ,positive
15,mua đt này mà mình còn xài 2 sim mobile nữa có tích_hợp được ko positive,positive
16,b86 có chống nước không,positive
17,nguyễn hữu thiện ngon hơn cả không e 9 ông êi positive,positive
18,mk muốn mua b86 ở vĩnh phúc ad hỗ_trợ mk với,positive
19,ảnh chụpcái này ngon nè xem ngoại_hạng đúng bài positive positive positive,positive
20,đẹp quá positive,positive
21,nha trang mua b86 ở đâu ạ,positive
22,đánh_bại sam sung,positive
23,ra_mắt b40 chưa ad,positive
24,mình về sẽ nhất_định mua bphone vì nó là hàng do ceo người việt,positive
25,hứa nếu về việt nam có tiền sẽ lấy 1 cái dùng đơn_giản đó là của người việt,positive
26,ng việt thì dùng hàng việt ủng_hộ lẫn nhau nếu mình mua hàng việt ng việt có việc_làm,positive
27,về vn là đi mua luôn nha_a,positive
28,cuối năm nay cố_gắng làm lụm để_dành bợ 1 em bphone,positive
29,sao không thấy bán mấy vậy_mà không thấy mấy ng dùng để xem tnao,positive
30,tại_sao lại có những người cứ phải dìm hàng thế nhỉ bỏ bao_nhiêu tiền để trải nghiệm các sản_phẩm nước_ngoài mà không ủng_hộ sản_phẩm việt nam mình không có tiền thì đành ủng_hộ tinh_thần_vậy,positive
31,chuẩn vì 99 trẻ trâu sẽ chửi hùa và không mua positive,positive
32,cảm_nhận cá_nhân sau khi dùng 2 chiếc bphone bphone 2 và b86 mua lướt tôi nhận thấy sản_phẩm bphone thật_sự được chay chuốt và sắc nét máy đẹp và sang hơn so với các sản_phẩm cùng phân khúc máy thật_sự được làm_bằng rất nhiều tâm_huyết và khát_khao lửa việt do cá_nhân tôi đã từng dùng 3 đời không e 2 s galaxy s ip 6 plus và hiện đang dùng trải nghiệm 2 đt opo f11 pro và reno tôi thấy bphone sang hơn các dòng cùng phân khúc không phủ_nhận b86 với các cử_chỉ vuốt đôi_khi hơi bất_tiện 1 chút nhưng thực_sự bphone hay vin smart là một trong những niềm tự_hào của người việt rất mong mọi người hãy có những cái nhìn khách_quan hơn tích_cực hơn về bphone chúc anh quả ng bác vượng sức_khoẻ và chúc bphone vin smart thành_công ps trên đây chỉ là cảm_nhận cá_nhân positive positive positive positive positive positive,positive
33,trân_trọng và tôn_vinh những sản_phẩm việt được tạo ra bởi con_người việt và trí_tuệ việt nam 🇻 🇳 positive,positive
34,ủng_hộ trí_tuệ vn,positive
35,mình muốn mua bê phôn ở đâu bán_vậy,positive
36,bao_giờ ra bphone 5 vậy ad,positive
37,biết đến bphone từ lúc mới ra mà tới giờ notpos  trải nghiệm hứa là sẽ mua,positive
38,người việt dùng hàng việt tôn_vinh hàng việt,positive
39,ủng_hộ hết_mình,positive
40,thích nhưng không dám nói positive,positive
41,hàng việt là thic rồi,positive
42,anh cố_gắng nội_địa_hoá đa kết_hợp mẫu_mã chất_lượng và giá_cả phải phù_hợp với đa_số thì cộng_đồng sẽ ủng_hộ anh,positive
43,bạn cho hỏi bphone3 còn bán ở và giá bao_nhiêu cám_ơn,positive
44,mình chưa dám nhật là tinh_hoa nhưng mình đang khai_thông lớp con_cháu mình dùng và ủng_hộ hàng việt nam chất_lượng cao,positive
45,chả hiểu sao người việt lại đi vùi_dập hàng việt,positive
46,admin ơi gặp đúng người rồi e là fan cuồng nè positive,positive
47,ko mở văn_phòng hải phòng nhỉ,positive
48,mình cũng thích mà chưa có tiền positive,positive
49,ước gì mình có được một chiếc thì thật là tuyệt_vời positive,positive
50,lần tới sẽ dùng bphone,positive
51,thây bphone hợp_tác với tgd thi minh nghi se co nh yêu ng biêt đên nữa positive,positive
52,sao cuối tháng 6 rồi mà vẫn chưa có máy b40,positive
53,tự_hào bphone có như này đất_nước con_người mới đi lên chớ qua trung quốc chọn một nhà oem làm hết thay cái logo không khác gì làm_giàu cho giặc nghàn năm,positive
54,nếu bkav chuyển sang sản_xuất laptop thì sao nhỉ một chiếc laptop có logo b positive,positive
55,kể mà giá giảm tí thì tôt biết_mấy positive,positive
56,doanh_nghiệp bphone nên hướng ra thị_trường nước_ngoài lấy các hãng smartech hàng_đầu thế_giới làm mục_tiêu cạnh_tranh người nước_ngoài sử_dụng và biết nhiều đến sản_phẩm như thế mới có_thể khẳng_định được một cach đung nhat giá_trị chất_xám sản_phẩm do người việt làm thị_trường trong nc positive,positive
57,khoảnh_khắc đúng không admin positive positive,positive
58,ko có những chiếc điện_thoại ntn thì lsao mà việt_nam phát_triển được positive,positive
59,chính_xác lắm,positive
